UIrt2PL	20	200	1000	1
UIrt3PL	20	200	1000	1
MIrt2PL	20	200	1000	1
MIrt3PL	20	200	1000	1
UIrt2PL	20	200	5000	1
UIrt3PL	20	200	5000	1
MIrt2PL	20	200	5000	1
MIrt3PL	20	200	5000	1
UIrt2PL	20	200	10000	1
UIrt3PL	20	200	10000	1
MIrt2PL	20	200	10000	1
MIrt3PL	20	200	10000	1
UIrt2PL	50	1000	1000	1
UIrt3PL	50	1000	1000	1
MIrt2PL	50	1000	1000	1
MIrt3PL	50	1000	1000	1
UIrt2PL	50	1000	5000	1
UIrt3PL	50	1000	5000	1
MIrt2PL	50	1000	5000	1
MIrt3PL	50	1000	5000	1
UIrt2PL	50	1000	10000	1
UIrt3PL	50	1000	10000	1
MIrt2PL	50	1000	10000	1
MIrt3PL	50	1000	10000	1
UIrt2PL	100	2000	1000	1
UIrt3PL	100	2000	1000	1
MIrt2PL	100	2000	1000	1
MIrt3PL	100	2000	1000	1
UIrt2PL	100	2000	5000	1
UIrt3PL	100	2000	5000	1
MIrt2PL	100	2000	5000	1
MIrt3PL	100	2000	5000	1
UIrt2PL	100	2000	10000	1
UIrt3PL	100	2000	10000	1
MIrt2PL	100	2000	10000	1
MIrt3PL	100	2000	10000	1
